,Name,Country,Years active,Proven victims,Possible victims,Notes
23,Kristen Gilbert,United States,1990–1996,5,70+,"Nurse at a Massachusetts Veterans Medical Center who injected male patients with epinephrine, causing heart attacks. Sentenced to life without parole.[387]"
24,Amy Archer-Gilligan,United States,1910–1917,5,48+,"A nursing home proprietor believed to have poisoned as many as 60 patients from her homes and her second husband. Charged with five murders originally, this was lowered to just one following her admission of guilt, and was found guilty of second degree murder. Died in a mental hospital in 1962.[388]"
25,Sonya Caleffi,Italy,2003–2004,5,18,Nurse who poisoned terminally-ill patients; sentenced to 20 years imprisonment.[389]
26,Michael Swango,United States Zimbabwe,1981–1997,4,35–60+,Medical Doctor who killed patients.[390]
27,Kermit Gosnell,United States,1989?–2010,4,100+,"Gosnell, who ran an abortion clinic, was charged with eight and convicted of four murders. Three babies were born alive, then killed by cutting the infant's spine with scissors. One mother died due to complications. Testimony indicated hundreds of similar procedures carried out by Gosnell and his staff."
28,Edson Izidoro Guimarães,Brazil,1999 and earlier,4,131,"Nurse who injected patients with potassium chloride or removed their oxygen mask. Confessed to five murders which he claimed to be mercy killings and was convicted of four in 2000; sentenced to 76 years in prison. He may have killed as many as 131 patients for money, as he was paid $60 for informing local funeral homes of a patient's death so that they could contact the deceased's relatives first.[391]"
29,Richard Angelo,United States,1987,4,25,"Known as ""The Angel of Death"". New York nurse convicted of four murders, linked to six other deaths. Suspected of killing up to 25 people.[392]"
30,Colin Norris,United Kingdom,2002,4,18,"Convicted of murdering four elderly women and attempting to murder another in two Leeds hospitals during 2002 while working as a nurse. He had injected the women, who were only in hospital due to broken hips, with massive overdoses of insulin. He was sentenced to life imprisonment with a minimum term of 30 years in 2008.[393]"
31,Beverley Allitt,United Kingdom,1991,4,,Convicted of murdering four children and attacking another six in the Lincolnshire hospital where she worked as a nurse. Given 13 life sentences.[394]
32,Andrés Ulises Castillo Villarreal,Mexico,2009–2015,3,12+,"Known as ""The Chihuahua Ripper""; drugged, raped and then killed men in Chihuahua; sentenced to 120 years imprisonment.[395]"
33,Elfriede Blauensteiner,Austria,1981–1995,3,10+,"Known as ""The Black Widow""; poisoned people for material gain; died from a brain tumor in 2003.[396]"
34,Benjamin Geen,United Kingdom,2003–2004,2,12,"Nurse convicted in 2006 of murdering two patients and causing grievous bodily harm to another 15 at Horton General Hospital in Banbury, Oxfordshire between 2003 and 2004.[397] Induced illness in the patients with overdoses of drugs, in order to enjoy the 'thrill' of resuscitating them.[398] Given 17 life sentences and ordered to serve at least 30 years imprisonment.[399] 9 other cases were originally investigated.[398]"
35,Victorino Chua,United Kingdom,2011,2,5,Poisoned several patients at Stepping Hill Hospital with Insulin.
