,Name,Country,Years active,Proven victims,Possible victims,Notes
10,Allan Grimson,United Kingdom,1986–1998,2,22,"Homosexual Royal Navy sailor Grimson was convicted of the partially sexually-motivated murders of two other (non-homosexual) Royal Navy sailors while docked in Portsmouth on 12 December 1997 and 12 December 1998. Strongly suspected of being responsible for up to 20 other murders across different navy bases of the world, including in Gibraltar and New Zealand.[469] Also the prime suspect in the disappearance of fellow Royal Navy sailor Simon Parkes from Gibraltar in 1986, in part because he disappeared on 12 December, the date when Grimson was known to have always killed his victims on, and because Grimson was docked in Gibraltar with the navy at this time. Grimson's 2001 trial judge told him that he was ""a serial killer in nature if not in number"". His release from prison is imminent and he is currently being held in an open prison with day release provisions.[470]"
11,Billy Edwin Reid,United States,1989,2,21,"Reid was arrested in 2006 after a successful DNA profiling test proved his responsibility in the murders of two prostitutes in 1989 in Denver, Colorado.[471] It is thought he might have been responsible for many murders, some of which from the Denver Prostitute Killer - an unidentified single, or multiple serial killers responsible 17–27 murders between 1975 and 1995.[472]"
12,Joe Ball,United States,1937–1938,2,20,"Bootlegger and barman known as the ""Butcher of Elmendorf"", the ""Bluebeard of South Texas"", and ""the Alligator Man"" because of the alligator pit he had in the back of his bar and where he entertained clients by throwing live animals to the reptiles. Ball killed two barmaids but he shot himself fatally in the chest when police came to question him and was never arrested or interrogated. Yellow press and pulp magazines later exaggerated his exploits, claiming that he had killed up to 20 women and fed them to the alligators, but this was never proven and caused some of Ball's relatives to sue such publications. Police investigated about a dozen women that had worked at Ball's place and were missing at the time of his suicide; some were found alive in San Antonio, but others could not be accounted for.[473]"
13,Michael Stone,United Kingdom,1976-1996,2,4,"Stone, who was convicted of the 1996 double murder of Lin and Megan Russell, is suspected of two other murders.[474][475] His conviction is controversial and his legal team blame confirmed serial killer Levi Bellfield for the 1996 murders,[476] although members of Stone's family believe he is guilty of one of the additional murders.[477]"
14,Christopher Halliwell,United Kingdom,1985-2011,2,28-60,"Halliwell pleaded guilty in 2012 to abducting and murdering Sian O'Callaghan the previous year. He also confessed to the 2003 murder of Becky Godden-Edwards, but his confession was ruled inadmissible and he could not be convicted until 2016, when new evidence was found. Halliwell is a person of interest in 26 other murders, and a collection of articles of women's clothing which included some taken from his victims may link him to up to 60 murders."
15,Pam Hupp,United States,2011-2016,1-2,3,"Hupp is the prime suspect in the 2011 murder of cancer patient Betsy Faria, who was stabbed to death shortly after making Hupp the sole beneficiary of a sizable life insurance policy. Faria's husband Russ was wrongfully convicted of her murder but was exonerated in 2015 and mobile data placed Hupp at the scene of the crime. After Russ was released, Hupp murdered a man named Louis Gumpenberger in 2016 and attempted to frame Russ for hiring him to kill her, but was caught and sentenced to life imprisonment for the murder. Hupp is currently awaiting trial for the murder of Betsy Faria, and is also suspected of having murdered her mother Shirley Neumann for inheritance in 2013."
16,Clementine Barnabet,United States,1911,1,35,"Barnabet was convicted of one murder but confessed as a total of 35. [478] She was believed to have murdered entire families in their sleep, but doubt has been cast on the extent of her involvement. [479] Sentenced to life imprisonment but released in 1923."
17,Jessie McTavish,United Kingdom,1974,1[b],24,"British nurse who was convicted in 1974 of the murder of a patient with insulin after being inspired by the plot of A Man Called Ironside. She was released on appeal in 1975, despite three appeal court judges saying there was ample evidence to support the conviction, as the trial judge had inadvertently misled the jury in his final summary.[480] The appeal court judges said that it was an omission that ""a few words could have cured"".[480] Apart from the case prosecuted, another 23 cases were deemed suspicious by investigators.[481] Although acquitted, McTavish's case often is mentioned in lectures at medical colleges in Britain, and is cited in textbooks and academic papers about forensic science and medical malpractice.[482][483][484] McTavish, now known as Jessie Gordon, is believed to have been the inspiration for serial killer nurse Colin Norris.[480]"
18,Abdul Latif Sharif,Mexico,1995,1,18–20,"Egyptian chemist known as ""The Jackal of Ciudad Juárez"". After migrating to the United States in the 1970s, Sharif served 14 years in prison for several rapes but fled to Mexico when he was about to be deported to his home country. There, he was accused of up to 20 of the female homicides in Ciudad Juárez but was convicted of only one, to 30 years in prison, where he died of natural causes in 2006. As the high rate of female murders has continued to this day in Ciudad Juárez, it has been claimed that Sharif was used as a scapegoat by the Mexican police.[485]"
19,Daisuke Mori,Japan,2000 and earlier,1,11+,Nurse that was sentenced to life imprisonment for one murder but suspected of killing at least 10 others. He might have confessed to some of the murders in order to protect others.[486]
20,Bevan Spencer von Einem,Australia,1979–1983,1,10,"Arrested for three and convicted of one of ""The Family Murders"", where four teenagers and one young adult, all male, were drugged, kidnapped, raped and mutilated for several weeks before their bodies were abandoned in the countryside near Adelaide. Police believed that von Einem had several accomplices, none of whom was publicly identified or detained, and at the time of his trial it was widely reported that the murders had been committed by a group of four to 12 high-profile Australian men; von Einem himself claimed to be the victim of a conspiracy. He has also been considered a suspect in the disappearance of two girls near the Adelaide Oval in 1973 and the high-profile Beaumont children disappearance in 1966.[487]"
21,David Smith,United Kingdom,1988-1999,1,4,"Smith was jailed for life in 1999 for murdering sex worker Amanda Walker. It was widely reported that he had previously been acquitted of the almost identical murder of another sex worker, Sarah Crump, and he was linked to two more murders after his conviction.[488]"
22,Brian Field,United Kingdom,1968-1996,1,5,"Field raped and murdered 13-year-old Roy Tutill in 1968, but was not convicted until 2001, in the interim serving time in prison for sex offences against children. He is the prime suspect in the disappearance of Patrick Warren and David Spencer in 1996, and a person of interest in the 1985 disappearance of Lee Boxell and the murder of another child, Mark Billington, in 1984."
23,Samantha Lewthwaite,United Kingdom,2011–present,0–3,400,"Wife of one of the 7/7 London bombers, Germaine Lindsay, and one of the world's most wanted terrorist suspects. She is suspected of killing up to 400 people, including three people in an attack at a bar Mombasa in 2012 which she is suspected of carrying out with grenades. She is wanted by police for this attack and has also been linked to the 2013 Nairobi Westgate shopping mall attack, but she has not been apprehended and her current whereabouts are unknown.[489][490][491]"
24,David Moor,United Kingdom,1970s–1999,0,300[c],"British doctor who was prosecuted for the ""euthanasia"" of a patient. He was found not guilty, but then admitted in a press interview to having ""helped"" 300 people to die. Some press reports referred to him as ""Britain's greatest serial killer"" and ""Doctor Death"". If the 300 victims are accepted as murder victims, he would have killed more than the most prolific serial killer known to the world, fellow British doctor Harold Shipman.[492]"
25,Edgar Matobato,Philippines,1988–2013,0,Hundreds,Self-confessed hitman and serial killer claiming to have killed people as part of the Davao Death Squad; his claims' authenticity has been challenged.[493]
26,John Bodkin Adams,United Kingdom,1946–1956,0,163,Acquitted in a highly unusual trial in 1957 of murder but later found guilty of fraud. Archive evidence shows that he was almost certainly a killer but that his prosecution was sabotaged for political reasons.[494][failed verification]
27,The Man from the Train,United States,1898–1912,0,40–100+,"Murdered entire families in their sleep, arriving and departing by train. Existence (and probable but not proven identity) discovered more than 100 years after the murders, by analysis of contemporary records, showing a markedly common modus operandi for many previously unconnected murders.[495]"
28,Ivomoku Bakusuba,Ruanda-Urundi,1940s,0,67,"Confessed to killing 67 children by strangling them with a bedsheet. Committed suicide, ""probably in late 1940s or in early 1950s"". As information on this serial killer was only revealed by a police officer in 2018 during a conversation with a Brazilian writer, and there is no information on his conviction, the confirmation that he was a serial killer is debatable."
29,David Parker Ray,United States,1950–1999,0,60,"Torture-murderer possibly aided by numerous accomplices, including his girlfriend. Targeted victims in the Truth or Consequences, New Mexico, area. Convicted of attempted killing of three victims and is suspected of 60 murders, even though no bodies were ever found. Known as the ""Toybox Killer"" for the self-built mobile home he used in the rape, torture, and killing of women.[496]"
30,Howard Martin,United Kingdom,1977–2010,0,18+[d],"British doctor who was prosecuted in 2005 for the deaths of three patients but was acquitted. However, the General Medical Council then struck him off as a doctor in 2010 for ""hastening"" the death of 18 people. He admitted to a newspaper to have killed two of these individuals.[497]"
31,Marie Besnard,France,1927–1949,0,13,"Charged with the murders of 13 relatives with arsenic, all of whom had Besnard as their sole designated heir, but acquitted of all charges after three high-profile trials that lasted a decade.[498]"
32,Alfred Leonard Cline,United States,1930-1945,0,9,"Suspected of poisoning his eight wives and one man with sedative-laced buttermilk. Not enough evidence could be found to prosecute him for murder, but he was convicted of forging his victim's wills and died in prison in 1948."
